Name,Proj.,Own,Optimal,Team,Pos,Floor,Median,Ceiling,Salary
Zach Neto,6.68,5.26,3.2,LAA,SS,1.94,6.53,11.25,3900
Brooks Lee,6.46,9.42,7.47,MIN,3B,2.59,6.39,10.46,3000
Nolan Schanuel,7.17,5.33,6.43,LAA,1B,3.18,7.31,11.7,3500
Wyatt Langford,7.77,8.16,9.6,TEX,OF,2.3,8.05,13.37,3900
Eugenio Suarez,6.15,1.98,4.13,ARI,3B,1.62,6.11,10.58,3400
Randal Grichuk,6.48,2.73,4.4,ARI,OF,1.92,6.71,11.16,3200
Carson Kelly,6.1,5.07,2.13,DET,C,1.51,6.22,11.11,3000
Mickey Moniak,6.67,5.27,5.23,LAA,OF,1.87,6.75,11.42,2700
Jo Adell,6.28,3.15,10.53,LAA,OF,1.26,5.94,10.8,3000
Gabriel Moreno,7.04,4.33,7.37,ARI,C,2.39,7.22,11.78,3500
Kevin Newman,4.81,1.47,4.27,ARI,SS,0.83,4.83,8.43,2800
Gavin Sheets,6.52,3.73,8.2,CWS,1B/OF,2.11,6.58,11.36,3200
Gio Urshela,5.53,3.01,7.47,DET,1B/3B,1.61,5.54,9.19,2800
Nicky Lopez,5.07,2.27,4.27,CWS,2B,1.56,5.03,8.39,2500
Geraldo Perdomo,5.76,1.91,4.17,ARI,SS,2.01,5.47,9.19,3300
Corbin Carroll,6.79,3.49,4.27,ARI,OF,2.05,6.97,11.65,4800
Aaron Schunk,5.47,5.48,0.01,COL,SS,2.74,5.44,8.27,2000
Lenyn Sosa,6.02,4.87,6.37,CWS,3B,1.28,6.12,10.8,2400
Angel Martinez,7.27,12.62,8.53,CLE,2B/OF,3.51,7.31,11.38,2800
Justyn-Henry Malloy,6.11,6.12,2.13,DET,OF,1.78,6.07,10.51,2500
Jake Marisnick,0,0,0.01,LAA,OF,0,0,0.07,2000
Martin Maldonado,4.49,3.8,1.07,CWS,C,0.58,4.42,8.13,2000
Matt Duffy,0,0,0.01,TEX,2B/3B,0,0,0.07,2000
Zach McKinstry,5.72,4.15,10.67,DET,SS,1.58,5.85,9.96,2700
Eli White,5.43,5.78,7.5,ATL,OF,1.13,5.43,9.71,2000
Derek Hill,5.88,2.86,4.27,TEX,OF,1.29,6.03,10.92,2700
Blake Dunn,6.41,7.96,1.07,CIN,OF,3.5,6.46,9.31,2200
Travis Jankowski,0,5.73,0.01,TEX,OF,0,0,0.07,2100
Javier Baez,0,0,0.01,DET,SS,0,0,0.07,3000
Sergio Alcantara,0,0,0.01,ARI,3B/SS,0,0,0.07,2000
Skye Bolt,0,0,0.01,ATL,OF,0,0,0.07,2000
Jason Martin,0,0,0.01,LAA,OF,0,0,0.07,2000
Anthony Bemboom,0,0,0.01,DET,C,0,0,0.07,2000
P.J. Higgins,0,0,0.01,CIN,C,0,0,0.07,2000
Mark Mathias,0,0,0.01,CIN,2B,0,0,0.06,2000
Dom Nunez,0,0,0.01,CLE,C,0,0,0.07,2000
Ronaldo Hernandez,0,0,0.01,ARI,C,0,0,0.07,2000
Brooks Kriske,0,0,0.01,CIN,RP,0,0,0.07,4000
Samuel Zavala,0,0,0.01,CWS,OF,0,0,0.07,2000
Gabriel Gonzalez,0,0,0.01,MIN,OF,0,0,0.07,2000
Ramon Laureano,0,1.96,0.01,ATL,OF,0,0,0.07,2600
Andrew Vaughn,0,3.16,0.01,CWS,1B,0,0,0.07,3800
Luis Liberato,0,0,0.01,ATL,OF,0,0,0.07,2000
Caleb Hamilton,0,0,0.01,LAA,C,0,0,0.06,2000
Bligh Madris,0,0,0.01,DET,OF,0,0,0.07,2000
Charles Leblanc,0,0,0.01,LAA,3B/SS,0,0,0.06,3000
Jhonkensy Noel,0,6.43,0.01,CLE,OF,0,0,0.07,3300
Kahlil Watson,0,0,0.01,CLE,SS,0,0,0.06,2000
Korey Lee,0,0.71,0.01,CWS,C,0,0,0.07,3300
Daniel Schneemann,6.46,2.32,4.97,CLE,OF,1.99,6.67,11.57,3800
Kevin Pillar,0,0,0.01,LAA,OF,0,0,0.07,4500
Carlos Santana,0,6.36,0.01,MIN,1B,0,0,0.07,4200
Robbie Grossman,0,0,0.01,TEX,OF,0,0,0.06,3200
Joc Pederson,0,0.45,0.01,ARI,OF,0,0,0.07,4700
Travis d'Arnaud,0,0.18,0.01,ATL,C,0,0,0.07,3600
Miguel Sano,0,0,0.01,LAA,3B,0,0,0.06,3700
Christian Vazquez,0,0,0.01,MIN,C,0,0,0.07,2700
Manuel Margot,0,0,0.01,MIN,OF,0,0,0.07,3500
Jacob Stallings,0,2.6,0.01,COL,C,0,0,0.07,3700
Brian Anderson,0,0,0.01,ATL,OF,0,0,0.07,2500
Andy Ibanez,0,0,0.01,DET,1B/2B,0,0,0.07,3200
Matt Thaiss,0,0,0.01,LAA,C,0,0,0.07,2400
Austin Wynns,0,0,0.01,CIN,C,0,0,0.07,2600
Keston Hiura,0,0,0.01,LAA,2B,0,0,0.07,2300
Jake Rogers,0,0.37,0.01,DET,C,0,0,0.07,2900
Nolan Jones,0,6.09,0.01,COL,OF,0,0,0.07,4200
Jake Fraley,0,0,0.01,CIN,OF,0,0,0.07,3700
Andrew Knizner,0,0,0.01,TEX,C,0,0,0.07,2000
Santiago Espinal,0,0.7,0.01,CIN,3B,0,0,0.07,2600
Danny Mendick,0,0,0.01,CWS,2B/3B,0,0,0.07,2300
Zack Short,0,0,0.01,ATL,3B/SS,0,0,0.07,2200
Livan Soto,0,0,0.01,CIN,SS,0,0,0.07,3100
Luke Williams,0,0,0.01,ATL,OF,0,0,0.07,2100
Jonathan Ornelas,0,0,0.01,TEX,3B,0,0,0.06,2500
Tyler Freeman,0,1.18,0.01,CLE,OF,0,0,0.07,3700
Jake McCarthy,0,0.23,0.01,ARI,OF,0,0,0.07,3900
Corey Julks,0,0,0.01,CWS,OF,0,0,0.07,3500
Tucker Barnhart,0,0,0.01,ARI,C,0,0,0.07,2100
Austin Hedges,0,0,0.01,CLE,C,0,0,0.07,2500
Luis Guillorme,0,0,0.01,LAA,2B/3B,0,0,0.06,2200
Alek Thomas,0,0,0.01,ARI,OF,0,0,0.07,3100
Luke Maile,0,0,0.01,CIN,C,0,0,0.07,2300
Jake Cave,0,0,0.01,COL,OF,0,0,0.07,3000
Akil Baddoo,0,0,0.01,DET,OF,0,0,0.07,2600
Nick Martini,0,0,0.01,CIN,OF,0,0,0.06,3300
Luis Rengifo,0,0,0.01,LAA,2B/3B,0,0,0.07,4400
Sam Hilliard,0,0,0.01,COL,OF,0,0,0.06,2500
Forrest Wall,0,0,0.01,ATL,OF,0,0,0.07,2700
TJ Friedl,0,0,0.01,CIN,OF,0,0,0.07,4400
Gabriel Arias,0,0,0.01,CLE,3B/SS,0,0,0.07,3100
Parker Meadows,0,0,0.01,DET,OF,0,0,0.07,2400
Davis Wendzel,0,0,0.01,TEX,3B,0,0,0.07,2000
Ezequiel Duran,0,0,0.01,TEX,3B,0,0,0.07,2800
Jose Herrera,0,0,0.01,ARI,C,0,0,0.07,2500
Blaze Alexander,0,0,0.01,ARI,2B/3B,0,0,0.07,3200
Ryan Kreidler,0,0,0.01,DET,SS,0,0,0.06,2200
Miguel Castro,0,0,0.01,ARI,RP,0,0,0.07,4000
Matt Moore,0,0,0.01,LAA,RP,0,0,0.07,4000
Kirby Yates,0,27.01,0.01,TEX,RP,0,0,0.07,4000
Sandy Leon,0,0,0.01,ATL,C,0,0,0.07,2000
Nathan Eovaldi,0,0,0.01,TEX,RP,0,0,0.07,8800
Justin Wilson,0,0,0.01,CIN,RP,0,0,0.07,4000
Chasen Shreve,0,0,0.01,TEX,RP,0,0,0.06,4000
Carlos Carrasco,0,0,0.01,CLE,RP,0,0,0.07,6600
